PhraseId	SentenceId	Phrase	Sentiment
1	1	A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .	0
2	0	A series of escapades demonstrating the adage that what is good for the goose	0
3	0	A series	0
4	0	A	0
5	0	series	0
6	0	of escapades demonstrating the adage that what is good for the goose	0
7	0	of	0
8	0	escapades demonstrating the adage that what is good for the goose	0
9	0	escapades	0
10	0	demonstrating the adage that what is good for the goose	0
11	0	demonstrating the adage	0
12	0	demonstrating	0
13	0	the adage	0
14	0	the	0
15	0	adage	0
16	0	that what is good for the goose	0
17	0	that	0
18	0	what is good for the goose	0
19	0	what	0
20	0	is good for the goose	0
21	0	is	0
22	0	good for the goose	0
23	0	good	0
24	0	for the goose	0
25	0	for	0
26	0	the goose	0
27	0	goose	0
28	0	is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .	0
29	0	is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story	0
30	0	is also	0
31	0	also	0
32	1	good for the gander , some of which occasionally amuses but none of which amounts to much of a story	1
33	1	for the gander , some of which occasionally amuses but none of which amounts to much of a story	1
34	1	the gander , some of which occasionally amuses but none of which amounts to much of a story	1
35	1	the gander ,	1
36	1	the gander	1
37	1	gander	1
38	1	,	1
39	1	some of which occasionally amuses but none of which amounts to much of a story	1
40	1	some of which	1
41	1	some	1
42	1	of which	1
43	1	which	1
44	1	occasionally amuses but none of which amounts to much of a story	1
45	1	occasionally	1
46	1	amuses but none of which amounts to much of a story	1
47	1	amuses	1
48	1	but none of which amounts to much of a story	1
49	1	but	1
50	1	none of which amounts to much of a story	1
51	1	none	1
52	1	of which amounts to much of a story	1
53	1	which amounts to much of a story	1
54	1	amounts to much of a story	1
55	1	amounts	1
56	1	to much of a story	1
57	1	to	1
58	1	much of a story	1
59	1	much	1
60	1	of a story	1
61	1	a story	1
62	1	story	1
63	1	.	1
